iid_pid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field,field_cd,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
6794,452,13,Homme,23,2,17,11,2,9.0,5,10,439.0,0,"0,43",0,29.0,2.0,20,10,50,5,10,5,0,4.0,10.0,10.0,7.0,10.0,,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6793,452,13,Homme,23,2,17,11,13,9.0,4,9,438.0,0,"0,3",0,23.0,2.0,14,15,16,17,18,20,0,2.0,7.0,8.0,6.0,10.0,3.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6792,452,13,Homme,23,2,17,11,12,9.0,3,8,437.0,0,"0,47",0,23.0,2.0,15,15,18,18,14,20,0,7.0,8.0,9.0,8.0,9.0,7.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6791,452,13,Homme,23,2,17,11,6,9.0,8,7,436.0,0,"-0,04",0,23.0,2.0,28,8,17,22,17,8,0,7.0,10.0,10.0,10.0,8.0,7.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6790,452,13,Homme,23,2,17,11,7,9.0,9,6,435.0,0,"0,12",0,22.0,1.0,25,5,20,25,15,10,0,1.0,4.0,5.0,4.0,5.0,1.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6789,452,13,Homme,23,2,17,11,4,9.0,7,5,434.0,0,"-0,01",0,27.0,2.0,30,15,15,30,0,10,0,4.0,7.0,8.0,7.0,8.0,7.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6788,452,13,Homme,23,2,17,11,3,9.0,6,4,433.0,0,"0,19",0,30.0,6.0,20,20,20,20,10,10,0,1.0,3.0,5.0,2.0,3.0,1.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6787,452,13,Homme,23,2,17,11,11,9.0,2,3,432.0,1,"0,18",0,28.0,2.0,15,30,30,10,10,5,1,5.0,8.0,10.0,10.0,10.0,5.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6786,452,13,Homme,23,2,17,11,9,9.0,1,2,431.0,0,"-0,2",1,27.0,4.0,15,15,25,15,15,15,0,7.0,7.0,8.0,8.0,8.0,3.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6785,452,13,Homme,23,2,17,11,8,9.0,10,1,430.0,0,"0,21",1,22.0,4.0,10,25,15,20,15,15,0,4.0,8.0,9.0,8.0,9.0,2.0,[28-32],MBA,8.0,4.0,7.0,1.0,Singapore,"10,027",,1.0,5.0,3.0,private equity,Finance/Marketing,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,,35.0,30.0,25.0,5.0,0.0,5.0
6784,451,12,Homme,22,2,17,11,2,13.0,2,10,439.0,0,"0,22",0,29.0,2.0,20,10,50,5,10,5,0,0.0,10.0,10.0,3.0,10.0,5.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6783,451,12,Homme,22,2,17,11,13,13.0,1,9,438.0,0,"0,44",0,23.0,2.0,14,15,16,17,18,20,0,2.0,7.0,10.0,2.0,10.0,2.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6782,451,12,Homme,22,2,17,11,12,13.0,10,8,437.0,0,"0,44",0,23.0,2.0,15,15,18,18,14,20,0,6.0,8.0,10.0,7.0,10.0,8.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6781,451,12,Homme,22,2,17,11,6,13.0,5,7,436.0,0,"0,45",0,23.0,2.0,28,8,17,22,17,8,0,7.0,10.0,9.0,8.0,8.0,7.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6780,451,12,Homme,22,2,17,11,7,13.0,6,6,435.0,0,"0,21",0,22.0,1.0,25,5,20,25,15,10,0,1.0,8.0,8.0,4.0,7.0,,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6779,451,12,Homme,22,2,17,11,4,13.0,4,5,434.0,0,"0,01",0,27.0,2.0,30,15,15,30,0,10,0,2.0,7.0,6.0,7.0,6.0,5.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6778,451,12,Homme,22,2,17,11,3,13.0,3,4,433.0,0,"-0,07",0,30.0,6.0,20,20,20,20,10,10,0,1.0,5.0,5.0,2.0,5.0,1.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6777,451,12,Homme,22,2,17,11,11,13.0,9,3,432.0,0,"0,24",0,28.0,2.0,15,30,30,10,10,5,0,2.0,5.0,9.0,5.0,10.0,9.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6776,451,12,Homme,22,2,17,11,9,13.0,8,2,431.0,0,"-0,01",1,27.0,4.0,15,15,25,15,15,15,0,5.0,8.0,7.0,5.0,7.0,2.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6775,451,12,Homme,22,2,17,11,8,13.0,7,1,430.0,0,"0,17",1,22.0,4.0,10,25,15,20,15,15,0,2.0,5.0,9.0,5.0,8.0,3.0,[28-32],MBA,8.0,4.0,3.0,1.0,"Asia, Singapore","650,206",,2.0,3.0,3.0,banking,Finance/Marketing,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,,20.0,40.0,5.0,20.0,5.0,10.0
6774,450,11,Homme,21,2,17,11,2,2.0,1,10,439.0,0,"0,21",1,29.0,2.0,20,10,50,5,10,5,0,5.0,9.0,10.0,5.0,9.0,5.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6773,450,11,Homme,21,2,17,11,13,2.0,10,9,438.0,1,"0,46",1,23.0,2.0,14,15,16,17,18,20,1,4.0,6.0,8.0,7.0,9.0,2.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6772,450,11,Homme,21,2,17,11,12,2.0,9,8,437.0,0,"0,53",1,23.0,2.0,15,15,18,18,14,20,0,7.0,7.0,9.0,7.0,10.0,7.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6771,450,11,Homme,21,2,17,11,6,2.0,4,7,436.0,0,"0,48",1,23.0,2.0,28,8,17,22,17,8,0,7.0,7.0,8.0,8.0,8.0,7.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6770,450,11,Homme,21,2,17,11,7,2.0,5,6,435.0,0,"-0,08",0,22.0,1.0,25,5,20,25,15,10,1,7.0,9.0,10.0,9.0,9.0,6.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6769,450,11,Homme,21,2,17,11,4,2.0,3,5,434.0,0,"-0,1",1,27.0,2.0,30,15,15,30,0,10,0,5.0,5.0,5.0,7.0,5.0,9.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6768,450,11,Homme,21,2,17,11,3,2.0,2,4,433.0,0,"0,33",0,30.0,6.0,20,20,20,20,10,10,0,4.0,5.0,6.0,4.0,4.0,1.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6767,450,11,Homme,21,2,17,11,11,2.0,8,3,432.0,1,"0,4",1,28.0,2.0,15,30,30,10,10,5,1,5.0,10.0,10.0,9.0,10.0,10.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6766,450,11,Homme,21,2,17,11,9,2.0,7,2,431.0,0,"0,06",0,27.0,4.0,15,15,25,15,15,15,0,7.0,8.0,8.0,8.0,6.0,3.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6765,450,11,Homme,21,2,17,11,8,2.0,6,1,430.0,0,"0,01",0,22.0,4.0,10,25,15,20,15,15,0,5.0,7.0,8.0,6.0,9.0,5.0,[23-27],International Affairs,13.0,2.0,3.0,7.0,Singapore,,,2.0,6.0,2.0,Diplomat,Humanitarian Affairs,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,,50.0,5.0,5.0,5.0,5.0,30.0
6764,449,10,Homme,20,2,17,11,2,8.0,6,10,439.0,0,"0,46",0,29.0,2.0,20,10,50,5,10,5,0,8.0,9.0,9.0,4.0,9.0,,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6763,449,10,Homme,20,2,17,11,13,8.0,5,9,438.0,0,"0,12",0,23.0,2.0,14,15,16,17,18,20,0,7.0,7.0,8.0,8.0,7.0,4.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6762,449,10,Homme,20,2,17,11,12,8.0,4,8,437.0,0,"0,35",0,23.0,2.0,15,15,18,18,14,20,0,9.0,7.0,8.0,8.0,9.0,7.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6761,449,10,Homme,20,2,17,11,6,8.0,9,7,436.0,1,"0,78",0,23.0,2.0,28,8,17,22,17,8,1,10.0,10.0,10.0,10.0,10.0,10.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6760,449,10,Homme,20,2,17,11,7,8.0,10,6,435.0,1,"0,01",0,22.0,1.0,25,5,20,25,15,10,1,7.0,7.0,8.0,9.0,10.0,7.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6759,449,10,Homme,20,2,17,11,4,8.0,8,5,434.0,0,"-0,12",0,27.0,2.0,30,15,15,30,0,10,0,8.0,8.0,8.0,8.0,8.0,7.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6758,449,10,Homme,20,2,17,11,3,8.0,7,4,433.0,0,"0,44",1,30.0,6.0,20,20,20,20,10,10,0,7.0,7.0,7.0,7.0,4.0,3.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6757,449,10,Homme,20,2,17,11,11,8.0,3,3,432.0,0,"0,24",0,28.0,2.0,15,30,30,10,10,5,1,8.0,8.0,9.0,9.0,10.0,10.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6756,449,10,Homme,20,2,17,11,9,8.0,2,2,431.0,0,"0,31",0,27.0,4.0,15,15,25,15,15,15,0,8.0,5.0,7.0,6.0,8.0,2.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6755,449,10,Homme,20,2,17,11,8,8.0,1,1,430.0,0,"0,17",0,22.0,4.0,10,25,15,20,15,15,0,5.0,6.0,9.0,8.0,8.0,5.0,[23-27],Law,1.0,6.0,7.0,1.0,New York,"11,552",52280.0,1.0,3.0,1.0,Business/Law,Lawyer,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,,55.0,2.0,1.0,40.0,1.0,1.0
6754,448,9,Homme,18,2,17,11,2,7.0,7,10,439.0,1,"0,5",1,29.0,2.0,20,10,50,5,10,5,1,9.0,3.0,10.0,9.0,10.0,,[18-22],Law/Business,1.0,2.0,1.0,1.0,New York City,"10,021",55080.0,1.0,2.0,1.0,Business Management,Finance/Marketing,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,,25.0,15.0,25.0,25.0,5.0,5.0
6753,448,9,Homme,18,2,17,11,13,7.0,6,9,438.0,0,"0,48",1,23.0,2.0,14,15,16,17,18,20,0,8.0,2.0,4.0,5.0,10.0,2.0,[18-22],Law/Business,1.0,2.0,1.0,1.0,New York City,"10,021",55080.0,1.0,2.0,1.0,Business Management,Finance/Marketing,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,,25.0,15.0,25.0,25.0,5.0,5.0
6752,448,9,Homme,18,2,17,11,12,7.0,5,8,437.0,1,"0,41",1,23.0,2.0,15,15,18,18,14,20,1,7.0,6.0,9.0,10.0,9.0,9.0,[18-22],Law/Business,1.0,2.0,1.0,1.0,New York City,"10,021",55080.0,1.0,2.0,1.0,Business Management,Finance/Marketing,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,,25.0,15.0,25.0,25.0,5.0,5.0
6751,448,9,Homme,18,2,17,11,6,7.0,10,7,436.0,1,0,1,23.0,2.0,28,8,17,22,17,8,1,10.0,10.0,10.0,10.0,10.0,10.0,[18-22],Law/Business,1.0,2.0,1.0,1.0,New York City,"10,021",55080.0,1.0,2.0,1.0,Business Management,Finance/Marketing,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,,25.0,15.0,25.0,25.0,5.0,5.0
