iid_pid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
6794.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,2.0,9.0,5.0,10.0,439.0,0.0,0.43,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,4.0,10.0,10.0,7.0,10.0,3.7269529343140917,29.0,8.0,4.0,7.0,1.0,54796.72701206877,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182760077695611,35.0,30.0,25.0,5.0,0.0,5.0
6793.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,13.0,9.0,4.0,9.0,438.0,0.0,0.3,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,2.0,7.0,8.0,6.0,10.0,3.0,29.0,8.0,4.0,7.0,1.0,54823.43807937769,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182750266178586,35.0,30.0,25.0,5.0,0.0,5.0
6792.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,12.0,9.0,3.0,8.0,437.0,0.0,0.47,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,7.0,8.0,9.0,8.0,9.0,7.0,29.0,8.0,4.0,7.0,1.0,54828.231425230064,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182748391547841,35.0,30.0,25.0,5.0,0.0,5.0
6791.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,6.0,9.0,8.0,7.0,436.0,0.0,-0.04,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,10.0,10.0,8.0,7.0,29.0,8.0,4.0,7.0,1.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182754451821327,35.0,30.0,25.0,5.0,0.0,5.0
6790.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,7.0,9.0,9.0,6.0,435.0,0.0,0.12,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,1.0,4.0,5.0,4.0,5.0,1.0,29.0,8.0,4.0,7.0,1.0,55080.00000000001,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182743011580546,35.0,30.0,25.0,5.0,0.0,5.0
6789.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,4.0,9.0,7.0,5.0,434.0,0.0,-0.01,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,4.0,7.0,8.0,7.0,8.0,7.0,29.0,8.0,4.0,7.0,1.0,54826.85641588065,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182736929536371,35.0,30.0,25.0,5.0,0.0,5.0
6788.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,3.0,9.0,6.0,4.0,433.0,0.0,0.19,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,1.0,3.0,5.0,2.0,3.0,1.0,29.0,8.0,4.0,7.0,1.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.18272697108065,35.0,30.0,25.0,5.0,0.0,5.0
6787.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,11.0,9.0,2.0,3.0,432.0,1.0,0.18,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,5.0,8.0,10.0,10.0,10.0,5.0,29.0,8.0,4.0,7.0,1.0,55080.00000000001,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182722598560694,35.0,30.0,25.0,5.0,0.0,5.0
6786.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,9.0,9.0,1.0,2.0,431.0,0.0,-0.2,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,7.0,7.0,8.0,8.0,8.0,3.0,29.0,8.0,4.0,7.0,1.0,55080.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182722087832913,35.0,30.0,25.0,5.0,0.0,5.0
6785.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,8.0,9.0,10.0,1.0,430.0,0.0,0.21,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,4.0,8.0,9.0,8.0,9.0,2.0,29.0,8.0,4.0,7.0,1.0,54841.02391082927,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,5.182711611003521,35.0,30.0,25.0,5.0,0.0,5.0
6784.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,2.0,13.0,2.0,10.0,439.0,0.0,0.22,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,0.0,10.0,10.0,3.0,10.0,5.0,30.0,8.0,4.0,3.0,1.0,54801.37362626177,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182715547613373,20.0,40.0,5.0,20.0,5.0,10.0
6783.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,13.0,13.0,1.0,9.0,438.0,0.0,0.44,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,2.0,7.0,10.0,2.0,10.0,2.0,30.0,8.0,4.0,3.0,1.0,54830.03949400636,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182706529962227,20.0,40.0,5.0,20.0,5.0,10.0
6782.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,12.0,13.0,10.0,8.0,437.0,0.0,0.44,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,6.0,8.0,10.0,7.0,10.0,8.0,30.0,8.0,4.0,3.0,1.0,55080.00000000001,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182703403413211,20.0,40.0,5.0,20.0,5.0,10.0
6781.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,6.0,13.0,5.0,7.0,436.0,0.0,0.45,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,9.0,8.0,8.0,7.0,30.0,8.0,4.0,3.0,1.0,55080.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182710851021231,20.0,40.0,5.0,20.0,5.0,10.0
6780.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,7.0,13.0,6.0,6.0,435.0,0.0,0.21,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,1.0,8.0,8.0,4.0,7.0,4.686941202151835,30.0,8.0,4.0,3.0,1.0,55080.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182700907976758,20.0,40.0,5.0,20.0,5.0,10.0
6779.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,4.0,13.0,4.0,5.0,434.0,0.0,0.01,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,2.0,7.0,6.0,7.0,6.0,5.0,30.0,8.0,4.0,3.0,1.0,54831.899796786354,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182692297680239,20.0,40.0,5.0,20.0,5.0,10.0
6778.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,3.0,13.0,3.0,4.0,433.0,0.0,-0.07,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,1.0,5.0,5.0,2.0,5.0,1.0,30.0,8.0,4.0,3.0,1.0,55080.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182683794616857,20.0,40.0,5.0,20.0,5.0,10.0
6777.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,11.0,13.0,9.0,3.0,432.0,0.0,0.24,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,0.0,2.0,5.0,9.0,5.0,10.0,9.0,30.0,8.0,4.0,3.0,1.0,55080.00000000001,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182676458992837,20.0,40.0,5.0,20.0,5.0,10.0
6776.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,9.0,13.0,8.0,2.0,431.0,0.0,-0.01,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,5.0,8.0,7.0,5.0,7.0,2.0,30.0,8.0,4.0,3.0,1.0,55080.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182675435456475,20.0,40.0,5.0,20.0,5.0,10.0
6775.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,8.0,13.0,7.0,1.0,430.0,0.0,0.17,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,2.0,5.0,9.0,5.0,8.0,3.0,30.0,8.0,4.0,3.0,1.0,54847.19520557461,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,5.182667331750813,20.0,40.0,5.0,20.0,5.0,10.0
6774.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,2.0,2.0,1.0,10.0,439.0,0.0,0.21,1.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,5.0,9.0,10.0,5.0,9.0,5.0,25.0,13.0,2.0,3.0,7.0,56997.60283280952,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.182698565013065,50.0,5.0,5.0,5.0,5.0,30.0
6773.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,13.0,2.0,10.0,9.0,438.0,1.0,0.46,1.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,1.0,4.0,6.0,8.0,7.0,9.0,2.0,25.0,13.0,2.0,3.0,7.0,53117.62204780443,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.1826869346186015,50.0,5.0,5.0,5.0,5.0,30.0
6772.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,12.0,2.0,9.0,8.0,437.0,0.0,0.53,1.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,7.0,7.0,9.0,7.0,10.0,7.0,25.0,13.0,2.0,3.0,7.0,53116.98549598382,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.182684088098086,50.0,5.0,5.0,5.0,5.0,30.0
6771.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,6.0,2.0,4.0,7.0,436.0,0.0,0.48,1.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,7.0,8.0,8.0,8.0,7.0,25.0,13.0,2.0,3.0,7.0,53117.69648957514,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.182691441824596,50.0,5.0,5.0,5.0,5.0,30.0
6770.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,7.0,2.0,5.0,6.0,435.0,0.0,-0.08,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,7.0,9.0,10.0,9.0,9.0,6.0,25.0,13.0,2.0,3.0,7.0,53120.72209589133,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.182685920195907,50.0,5.0,5.0,5.0,5.0,30.0
6769.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,4.0,2.0,3.0,5.0,434.0,0.0,-0.1,1.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,5.0,5.0,5.0,7.0,5.0,9.0,25.0,13.0,2.0,3.0,7.0,53662.16086764547,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.1826751831856805,50.0,5.0,5.0,5.0,5.0,30.0
6768.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,3.0,2.0,2.0,4.0,433.0,0.0,0.33,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,4.0,5.0,6.0,4.0,4.0,1.0,25.0,13.0,2.0,3.0,7.0,53113.7022357853,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.182666048246561,50.0,5.0,5.0,5.0,5.0,30.0
6767.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,11.0,2.0,8.0,3.0,432.0,1.0,0.4,1.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,5.0,10.0,10.0,9.0,10.0,10.0,25.0,13.0,2.0,3.0,7.0,53394.423598776695,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.182659658933699,50.0,5.0,5.0,5.0,5.0,30.0
6766.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,9.0,2.0,7.0,2.0,431.0,0.0,0.06,0.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,7.0,8.0,8.0,8.0,6.0,3.0,25.0,13.0,2.0,3.0,7.0,53393.704984241376,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.182657715589241,50.0,5.0,5.0,5.0,5.0,30.0
6765.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,8.0,2.0,6.0,1.0,430.0,0.0,0.01,0.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,5.0,7.0,8.0,6.0,9.0,5.0,25.0,13.0,2.0,3.0,7.0,53666.33554600279,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,5.182649568773598,50.0,5.0,5.0,5.0,5.0,30.0
6764.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,2.0,8.0,6.0,10.0,439.0,0.0,0.46,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,8.0,9.0,9.0,4.0,9.0,6.032910675175655,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.39858980252755,55.0,2.0,1.0,40.0,1.0,1.0
6763.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,13.0,8.0,5.0,9.0,438.0,0.0,0.12,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,7.0,7.0,8.0,8.0,7.0,4.0,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.398591830627838,55.0,2.0,1.0,40.0,1.0,1.0
6762.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,12.0,8.0,4.0,8.0,437.0,0.0,0.35,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,9.0,7.0,8.0,8.0,9.0,7.0,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.39859062565952,55.0,2.0,1.0,40.0,1.0,1.0
6761.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,6.0,8.0,9.0,7.0,436.0,1.0,0.78,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.398593537492502,55.0,2.0,1.0,40.0,1.0,1.0
6760.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,7.0,8.0,10.0,6.0,435.0,1.0,0.01,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,7.0,7.0,8.0,9.0,10.0,7.0,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.398594945110938,55.0,2.0,1.0,40.0,1.0,1.0
6759.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,4.0,8.0,8.0,5.0,434.0,0.0,-0.12,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,8.0,8.0,8.0,8.0,8.0,7.0,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.398598864245065,55.0,2.0,1.0,40.0,1.0,1.0
6758.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,3.0,8.0,7.0,4.0,433.0,0.0,0.44,1.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,7.0,7.0,7.0,7.0,4.0,3.0,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.398593250618216,55.0,2.0,1.0,40.0,1.0,1.0
6757.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,11.0,8.0,3.0,3.0,432.0,0.0,0.24,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,8.0,8.0,9.0,9.0,10.0,10.0,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.398584076685882,55.0,2.0,1.0,40.0,1.0,1.0
6756.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,9.0,8.0,2.0,2.0,431.0,0.0,0.31,0.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,8.0,5.0,7.0,6.0,8.0,2.0,23.0,1.0,6.0,7.0,1.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,14.398587228382066,55.0,2.0,1.0,40.0,1.0,1.0
